ANALYTE_ACCESSION	ANALYTE_PREFERRED	CLUSTER_SUBUNIT_GENE_IDS	CLUSTER_SUBUNIT_GENE_SYMBOLS	CLUSTER_SUBUNIT_UNIPROT_IDS	CLUSTER_SUBUNIT_UNIPROT_NAMES	GENE_ADDITIONAL_NAMES	GENE_ALIASES	GENE_ID	GENETIC_NOMENCLATURE_ID	IMMUNOLOGY_GENE_SYMBOL	IX_SYNONYMS	LINK	MESH_ID	MESH_NAME	OFFICIAL_GENE_NAME	OMIM_ID	ORTHOLOG_IDS	PROTEIN_ONTOLOGY_ID	PROTEIN_ONTOLOGY_NAME	PROTEIN_ONTOLOGY_SYNONYMS	PROTEIN_ONTOLOGY_URL	SHEN_ORR_ID	TAXONOMY_ID	TYPOGRAPHICAL_VARIATIONS	UNIPROT_ALT_PROT_NAMES	UNIPROT_ID	UNIPROT_PROTEIN_NAME	UNIQUE_ID
ANA123	IL12A					interleukin12 alpha chain;CLMF p35;IL35 subunit;interleukin12 subunit alpha;cytotoxic lymphocyte maturation factor 35 kDa subunit;IL12, subunit p35;interleukin 12, p35;cytotoxic lymphocyte maturation factor 1, p35;NF cell stimulatory factor chain 1;interleukin 12A (natural killer cell stimulatory factor 1, cytotoxic lymphocyte maturation factor 1, p35);NK cell stimulatory factor chain 1;	P35;CLMF;NFSK;NKSF1;IL-12A;	3592	HGNC:5969	IL12A	-	http://www.ncbi.nlm.nih.gov/gene/?term=3592	D053765	Interleukin-12 Subunit p35	interleukin 12A	161560	16159	PR:000001368	interleukin-12 subunit alpha	CLMF p35;IL-12 subunit p35;IL-12A;IL12A;NK cell stimulatory factor chain 1;NKSF1;cytotoxic lymphocyte maturation factor 35 kDa subunit;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001368	-	9606	Interleukin-12 Subunit p35;	IL-12A;Cytotoxic lymphocyte maturation factor 35 kDa subunit;CLMF p35;IL-12 subunit p35;NK cell stimulatory factor chain 1;NKSF1;	IL12A_HUMAN	Interleukin-12 subunit alpha	CID_96
ANA124	IL12B					cytotoxic lymphocyte maturation factor 40 kDa subunit;IL12, subunit p40;IL12 subunit p40;NK cell stimulatory factor chain 2;interleukin12 beta chain;interleukin 12B (natural killer cell stimulatory factor 2, cytotoxic lymphocyte maturation factor 2, p40);natural killer cell stimulatory factor, 40 kD subunit;interleukin12 subunit beta;CLMF p40;interleukin 12, p40;	CLMF;NKSF;CLMF2;NKSF2;IL-12B;	3593	HGNC:5970	IL12B	-	http://www.ncbi.nlm.nih.gov/gene/?term=3593	D053762	Interleukin-12 Subunit p40	interleukin 12B	161561	16160	PR:000001369	interleukin-12 subunit beta	cytotoxic lymphocyte maturation factor 40 kDa subunit;IL-12B;CLMF p40;IL-12 subunit p40;IL12B;NKSF2;NK cell stimulatory factor chain 2;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001369	-	9606	IL-12 subunit p40;IL-12B;IL12B;Interleukin-12 Subunit p40;interleukin-12 p40;interleukin-12 subunit beta;	IL-12B;Cytotoxic lymphocyte maturation factor 40 kDa subunit;CLMF p40;IL-12 subunit p40;NK cell stimulatory factor chain 2;NKSF2;	IL12B_HUMAN	Interleukin-12 subunit beta	CID_97
ANA125	IL12RB1					IL-12 receptor beta component;IL-12 receptor subunit beta-1;IL-12R subunit beta-1;cluster of differentiation 212;interleukin-12 receptor beta-1 chain;interleukin-12 receptor subunit beta-1;	CD212;IL-12R-BETA1;IL12RB;	3594	HGNC:5971	IL12RB1	-	http://www.ncbi.nlm.nih.gov/gene/?term=3594	-	-	interleukin 12 receptor, beta 1	601604	16161	PR:000001367	interleukin-12 receptor subunit beta-1	IL-12R-beta-1;CD212;IL-12RB1;IL-12R subunit beta-1;IL12RB;IL12RB1;IL-12 receptor beta component;IL12R;IL-12 receptor subunit beta-1;interleukin-12 receptor beta 1;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001367	-	9606	-	IL-12 receptor subunit beta-1;IL-12R subunit beta-1;IL-12R-beta-1;IL-12RB1;IL-12 receptor beta component;	I12R1_HUMAN	Interleukin-12 receptor subunit beta-1	CID_217
ANA126	IL12RB2					IL-12 receptor subunit beta-2;IL-12R subunit beta-2;interleukin-12 receptor beta-2 chain;interleukin-12 receptor subunit beta-2;	RP11-102M16.1;	3595	HGNC:5972	IL12RB2	-	http://www.ncbi.nlm.nih.gov/gene/?term=3595	-	-	interleukin 12 receptor, beta 2	601642	16162	PR:000008980	interleukin-12 receptor subunit beta-2	interleukin-12 receptor beta-2 chain;IL-12 receptor subunit beta-2;IL-12RB2;IL-12R subunit beta-2;IL12RB2;IL-12R-beta-2;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000008980	-	9606	-	IL-12 receptor subunit beta-2;IL-12R subunit beta-2;IL-12R-beta-2;IL-12RB2;	I12R2_HUMAN	Interleukin-12 receptor subunit beta-2	CID_254
ANA127	IL13					interleukin13;	P600;IL-13;	3596	HGNC:5973	IL13	il-13;il13;interleukin 13;bhr1;t-cell activation protein p600;interleukin-13;p600;nc30;mgc116786;alrh;mgc116788;mgc116789;	http://www.ncbi.nlm.nih.gov/gene/?term=3596	D018793	Interleukin-13	interleukin 13	147683	16163	PR:000001370	interleukin-13	NC30;IL-13;T-cell activation protein P600;IL13;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001370	157	9606	IL 13;IL-13;IL13;Interleukin-13;T-cell activation protein P600;interleukin 13;	IL-13;	IL13_HUMAN	Interleukin-13	CID_98
ANA128	IL13RA1					CD213a1 antigen;CT19;IL-13 receptor subunit alpha-1;IL-13R subunit alpha-1;IL-13R-alpha-1;IL-13RA1;IL13 receptor alpha-1 chain;bB128O4.2.1 (interleukin 13 receptor, alpha 1);cancer/testis antigen 19;interleukin-13 receptor subunit alpha-1;	RP13-128O4.2;CD213A1;IL-13Ra;NR4;	3597	HGNC:5974	IL13RA1	-	http://www.ncbi.nlm.nih.gov/gene/?term=3597	-	-	interleukin 13 receptor, alpha 1	300119	16164	PR:000001371	interleukin-13 receptor subunit alpha-1	IL-13R-alpha-1;IL-13 receptor subunit alpha-1;cancer/testis antigen 19;novel cytokine receptor 4;IL13R;IL13RA1;interleukin-13-binding protein;interleukin-13 receptor alpha-1 chain;IL13RA;CD213a1;IL-13RA1;IL-13R subunit alpha-1;NR4;CT19;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001371	-	9606	-	IL-13 receptor subunit alpha-1;IL-13R subunit alpha-1;IL-13R-alpha-1;IL-13RA1;Cancer/testis antigen 19;CT19;	I13R1_HUMAN	Interleukin-13 receptor subunit alpha-1	CID_218
ANA129	IL13RA2					IL-13 receptor subunit alpha-2;IL-13R subunit alpha-2;IL-13R-alpha-2;IL-13RA2;cancer/testis antigen 19;interleukin 13 binding protein;interleukin 13 receptor alpha 2 chain;interleukin-13 receptor subunit alpha-2;interleukin-13-binding protein;	CD213A2;CT19;IL-13R;IL13BP;	3598	HGNC:5975	IL13RA2	-	http://www.ncbi.nlm.nih.gov/gene/?term=3598	-	-	interleukin 13 receptor, alpha 2	300130	16165	PR:000001372	interleukin-13 receptor subunit alpha-2	IL13RA2;IL-13R-alpha-2;IL13R;IL-13R subunit alpha-2;interleukin-13-binding protein;CD213a2;interleukin-13 receptor alpha-2 chain;IL-13RA2;IL-13 receptor subunit alpha-2;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001372	-	9606	-	IL-13 receptor subunit alpha-2;IL-13R subunit alpha-2;IL-13R-alpha-2;IL-13RA2;Interleukin-13-binding protein;	I13R2_HUMAN	Interleukin-13 receptor subunit alpha-2	CID_219
ANA13	CCL21					Efficient Chemoattractant for Lymphocytes;beta chemokine exodus2;small inducible cytokine subfamily A (CysCys), member 21;CC motif chemokine 21;secondary lymphoid tissue chemokine;	ECL;SLC;CKb9;TCA4;6Ckine;SCYA21;	6366	HGNC:10620	CCL21	-	http://www.ncbi.nlm.nih.gov/gene/?term=6366	D054421	Chemokine CCL21	chemokine (C-C motif) ligand 21	602737	18829	PR:000001993	C-C motif chemokine 21	small-inducible cytokine A21;Scya21b;TCA4;thymus-derived chemotactic agent 4;small-inducible cytokine A21c;Ccl21c;small-inducible cytokine A21b;small-inducible cytokine A21a;SCYA21;CCL21;6Ckine;SLC;beta chemokine exodus-2;Scya21c;secondary lymphoid-tissue chemokine;Ccl21b;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001993	-	9606	Chemokine CCL21;CCL21;	6Ckine;Beta-chemokine exodus-2;Secondary lymphoid-tissue chemokine;SLC;Small-inducible cytokine A21;	CCL21_HUMAN	C-C motif chemokine 21	CID_22
ANA130	IL15					interleukin15;	IL-15;	3600	HGNC:5977	IL15	Interleukin-15;interleukin-15;interleukin t;il-15;il15;il-t;interleukin 15;interleukin-t;mgc9721;	http://www.ncbi.nlm.nih.gov/gene/?term=3600	D019409	Interleukin-15	interleukin 15	600554	16168	PR:000001373	interleukin-15	IL15;IL-15;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001373	181	9606	IL 15;IL-15;IL15;Interleukin-15;interleukin 15;	IL-15;	IL15_HUMAN	Interleukin-15	CID_100
ANA131	IL15RA					interleukin 15 receptor alpha isoform EM2;interleukin 15 receptor alpha isoform IC2;interleukin 15 receptor alpha isoform IC3;interleukin 15 receptor alpha isoform IC4;interleukin 15 receptor alpha isoform IC5;interleukin 15 receptor alpha isoform IC6;interleukin 15 receptor alpha isoform IC7;interleukin 15 receptor alpha isoform IC8;interleukin-15 receptor subunit alpha;	RP11-536K7.2;CD215;	3601	HGNC:5978	IL15RA	-	http://www.ncbi.nlm.nih.gov/gene/?term=3601	-	-	interleukin 15 receptor, alpha	601070	16169	PR:000008981	interleukin-15 receptor subunit alpha	CD215;IL-15 receptor subunit alpha;IL-15R-alpha;IL-15RA;IL15RA;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000008981	-	9606	-	IL-15 receptor subunit alpha;IL-15R-alpha;IL-15RA;sIL-15 receptor subunit alpha;sIL-15R-alpha;sIL-15RA;	I15RA_HUMAN	Soluble interleukin-15 receptor subunit alpha	CID_220
ANA132	IL16					neuronal interleukin 16;lymphocyte chemoattractant factor;prointerleukin16;prointerleukin 16;	LCF;NIL16;PRIL16;prIL-16;	3603	HGNC:5980	IL16	il-16;flj16806;interleukin-16;flj44234;lymphocyte chemoattractant factor;interleukin 16;pril-16;lcf;il16;flj42735;hst19289;	http://www.ncbi.nlm.nih.gov/gene/?term=3603	D019410	Interleukin-16	interleukin 16	603035	16170	PR:000001374	interleukin-16	IL16;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001374	147	9606	IL 16;IL-16;IL16;Interleukin-16;interleukin 16;	IL-16;Lymphocyte chemoattractant factor;LCF;	IL16_HUMAN	Interleukin-16	CID_101
ANA133	IL17A					interleukin17A;cytotoxic Tlymphocyteassociated protein 8;cytotoxic Tlymphocyteassociated antigen 8;interleukin 17 (cytotoxic Tlymphocyteassociated serine esterase 8);CTLA8;	IL17;CTLA8;IL-17;IL-17A;	3605	HGNC:5981	IL17A	il-17a;interleukin 17a;ctla8;il17a;il17;il-17;ctla-8;interleukin-17a;cytotoxic t-lymphocyte-associated antigen 8;	http://www.ncbi.nlm.nih.gov/gene/?term=3605	-	-	interleukin 17A	603149	16171	PR:000001138	interleukin-17A	cytotoxic T-lymphocyte-associated antigen 8;IL17A;IL-17A;IL-17;CTLA-8;CTLA8;IL17;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001138	145	9606	-	IL-17;IL-17A;Cytotoxic T-lymphocyte-associated antigen 8;CTLA-8;	IL17_HUMAN	Interleukin-17A	CID_103
ANA134	IL17B					neuronal interleukin17 related factor;neuronal interleukin17related factor;cytokinelike protein ZCYTO7;cytokine Zcyto7;interleukin17 beta;interleukin20;interleukin 20;interleukin17B;	NIRF;IL-20;IL-17B;ZCYTO7;	27190	HGNC:5982	IL17B	il-17b;neuronal interleukin-17-related factor;nirf;cytokine-like protein zcyto7;neuronal il17-related factor;interleukin 17b;il-20;il20;il17b;interleukin-20;cytokine zcyto7;zcyto7;cytokine cx1;mgc138900;interleukin-17b;mgc138901;	http://www.ncbi.nlm.nih.gov/gene/?term=27190	-	-	interleukin 17B	604627	56069	PR:000001139	interleukin-17B	IL17B;cytokine Zcyto7;cytokine-like protein ZCYTO7;NIRF;IL-20;cytokine CX1;ZCYTO7;neuronal interleukin-17-related factor;interleukin-20;IL-17B;IL20;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001139	137	9606	-	IL-17B;Cytokine Zcyto7;Interleukin-20;IL-20;Neuronal interleukin-17-related factor;	IL17B_HUMAN	Interleukin-17B	CID_104
ANA135	IL17C					cytokine CX2;interleukin17C;	CX2;IL-17C;	27189	HGNC:5983	IL17C	il-17c;mgc138401;interleukin 17c;interleukin-17c;il17c;mgc126884;cytokine cx2;	http://www.ncbi.nlm.nih.gov/gene/?term=27189	-	-	interleukin 17C	604628	234836	PR:000001140	interleukin-17C	IL-17C;cytokine CX2;IL17C;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001140	141	9606	-	IL-17C;Cytokine CX2;	IL17C_HUMAN	Interleukin-17C	CID_105
ANA136	IL17D					interleukin 27;interleukin17D;	IL27;IL-27;IL-17D;	53342	HGNC:5984	IL17D	il-17d;flj30846;interleukin-17d;interleukin 17d;il17d;	http://www.ncbi.nlm.nih.gov/gene/?term=53342	-	-	interleukin 17D	607587	239114	PR:000001141	interleukin-17D	IL-17D;IL-27;IL27;IL17D;interleukin-27;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001141	133	9606	-	IL-17D;Interleukin-27;IL-27;	IL17D_HUMAN	Interleukin-17D	CID_106
ANA137	IL17F					cytokine ML1;interleukin17F;	ML1;ML-1;CANDF6;IL-17F;	112744	HGNC:16404	IL17F	il-17f;ml-1;ml1;interleukin-17f;interleukin 17f;il17f;	http://www.ncbi.nlm.nih.gov/gene/?term=112744	-	-	interleukin 17F	606496	257630	PR:000001142	interleukin-17F	IL-24;interleukin-24;IL24;cytokine ML-1;IL-17F;IL17F;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001142	129	9606	-	IL-17F;Cytokine ML-1;	IL17F_HUMAN	Interleukin-17F	CID_107
ANA116	IFNL3					interleukin 28C;interleukin28C;interleukin28B;IFNlambda3;interferon lambda3;interferon lambda4;cytokine Zcyto22;interferon, lambda 4;IL28C;interleukin 28B (interferon, lambda 3);IFNlambda4;	IL28B;IL28C;IL-28B;	282617	HGNC:18365	IFNL3	il-28b;il28c;il-28c;il28b;interferon lambda-4;zcyto22;cytokine zcyto22;interferon, lambda 4;interferon, lambda 3;ifn-lambda-4;ifn-lambda-3;interleukin-28b;ifnl4;ifnl3;interleukin 28b;	http://www.ncbi.nlm.nih.gov/gene/?term=282617	-	-	interferon, lambda 3	607402	338374	PR:000001470	interleukin-28B	interferon lambda-4;interferon lambda-3;IFNL4;interleukin-28C;IL-28C;IFN-lambda-4;IFNL3;IL28B;Il28;cytokine Zcyto22;IL-28B;ZCYTO22;IL28C;IFN-lambda-3;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001470	123	9606	-	IFN-lambda-3;Cytokine Zcyto22;Interleukin-28B;IL-28B;Interleukin-28C;IL-28C;	IFNL3_HUMAN	Interferon lambda-3	CID_123
ANA117	IFNLR1					CRF2-12;IFN-lambda receptor 1;IFN-lambda-R1;IL-28 receptor subunit alpha;IL-28R-alpha;IL-28RA;class II cytokine receptor CRF2/12;cytokine receptor class-II member 12;cytokine receptor family 2 member 12;interferon lambda receptor 1;interferon lambda, receptor 1;interleukin 28 alpha receptor;interleukin 28 receptor A;interleukin 28 receptor, alpha (interferon, lambda receptor);interleukin or cytokine receptor 2;interleukin-28 receptor subunit alpha;likely interleukin or cytokine receptor 2;	RP11-10N16.1;CRF2/12;IFNLR;IL-28R1;IL28RA;LICR2;	163702	HGNC:18584	IFNLR1	-	http://www.ncbi.nlm.nih.gov/gene/?term=163702	-	-	interferon, lambda receptor 1	607404	242700	PR:000009003	interleukin-28 receptor alpha chain	IFN-lambda-R1;IFN-lambda R1;interferon lambda receptor 1;IL-28R-alpha;IFN-lambda receptor 1;IL28RA;cytokine receptor family 2 member 12;IFNLR1;likely interleukin or cytokine receptor 2;IL-28 receptor subunit alpha;LICR2;CRF2-12;cytokine receptor class-II member 12;IL-28RA;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000009003	-	9606	-	IFN-lambda receptor 1;IFN-lambda-R1;Cytokine receptor class-II member 12;Cytokine receptor family 2 member 12;CRF2-12;Interleukin-28 receptor subunit alpha;IL-28 receptor subunit alpha;IL-28R-alpha;IL-28RA;Likely interleukin or cytokine receptor 2;LICR2;	INLR1_HUMAN	Interferon lambda receptor 1	CID_268
ANA118	IL10					Tcell growth inhibitory factor;cytokine synthesis inhibitory factor;interleukin10;	CSIF;TGIF;GVHDS;IL-10;IL10A;	3586	HGNC:5962	IL10	Interleukin-10;b-cell derived t-cell growth factor;il10a;cytokine synthesis inhibitory factor;t-cell growth inhibitory factor;il-10a;interleukin-10;il-10;il10;mgc126451;mgc126450;csif;b-tcgf;interleukin 10;tgif;	http://www.ncbi.nlm.nih.gov/gene/?term=3586	D016753	Interleukin-10	interleukin 10	124092	16153	PR:000001471	interleukin-10	CSIF;IL-10;cytokine synthesis inhibitory factor;IL10;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001471	85	9606	IL 10;IL-10;IL10;Interleukin-10;interleukin 10;	IL-10;Cytokine synthesis inhibitory factor;CSIF;	IL10_HUMAN	Interleukin-10	CID_93
