ANALYTE_ACCESSION	GENE_SYMBOL	GENE_ALIASES	GENE_ID	GENETIC_NOMENCLATURE_ID	IMMUNOLOGY_GENE_SYMBOL	LINK	OFFICIAL_GENE_NAME	PROTEIN_ONTOLOGY_ID	PROTEIN_ONTOLOGY_NAME	PROTEIN_ONTOLOGY_SYNONYMS	TAXONOMY_ID	UNIPROT_ENTRY	UNIPROT_ENTRY_NAME
ANA123	IL12A	P35;CLMF;NFSK;NKSF1;IL-12A;	3592	HGNC:5969	IL12p35	http://www.ncbi.nlm.nih.gov/gene/?term=3592	interleukin 12A	PR:000001368	interleukin-12 subunit alpha	CLMF p35;IL-12 subunit p35;IL-12A;IL12A;NK cell stimulatory factor chain 1;NKSF1;cytotoxic lymphocyte maturation factor 35 kDa subunit;	9606	IL12A_HUMAN	Interleukin-12 subunit alpha
ANA124	IL12B	CLMF;NKSF;CLMF2;NKSF2;IL-12B;	3593	HGNC:5970	IL12p40	http://www.ncbi.nlm.nih.gov/gene/?term=3593	interleukin 12B	PR:000001369	interleukin-12 subunit beta	cytotoxic lymphocyte maturation factor 40 kDa subunit;IL-12B;CLMF p40;IL-12 subunit p40;IL12B;NKSF2;NK cell stimulatory factor chain 2;	9606	IL12B_HUMAN	Interleukin-12 subunit beta
ANA125	IL12RB1	CD212;IL-12R-BETA1;IL12RB;	3594	HGNC:5971	IL12RB1	http://www.ncbi.nlm.nih.gov/gene/?term=3594	interleukin 12 receptor, beta 1	PR:000001367	interleukin-12 receptor subunit beta-1	IL-12R-beta-1;CD212;IL-12RB1;IL-12R subunit beta-1;IL12RB;IL12RB1;IL-12 receptor beta component;IL12R;IL-12 receptor subunit beta-1;interleukin-12 receptor beta 1;	9606	I12R1_HUMAN	Interleukin-12 receptor subunit beta-1
ANA126	IL12RB2	RP11-102M16.1;	3595	HGNC:5972	IL12RB2	http://www.ncbi.nlm.nih.gov/gene/?term=3595	interleukin 12 receptor, beta 2	PR:000008980	interleukin-12 receptor subunit beta-2	interleukin-12 receptor beta-2 chain;IL-12 receptor subunit beta-2;IL-12RB2;IL-12R subunit beta-2;IL12RB2;IL-12R-beta-2;	9606	I12R2_HUMAN	Interleukin-12 receptor subunit beta-2
ANA127	IL13	P600;IL-13;	3596	HGNC:5973	IL13	http://www.ncbi.nlm.nih.gov/gene/?term=3596	interleukin 13	PR:000001370	interleukin-13	NC30;IL-13;T-cell activation protein P600;IL13;	9606	IL13_HUMAN	Interleukin-13
ANA128	IL13RA1	RP13-128O4.2;CD213A1;IL-13Ra;NR4;	3597	HGNC:5974	IL13RA1	http://www.ncbi.nlm.nih.gov/gene/?term=3597	interleukin 13 receptor, alpha 1	PR:000001371	interleukin-13 receptor subunit alpha-1	IL-13R-alpha-1;IL-13 receptor subunit alpha-1;cancer/testis antigen 19;novel cytokine receptor 4;IL13R;IL13RA1;interleukin-13-binding protein;interleukin-13 receptor alpha-1 chain;IL13RA;CD213a1;IL-13RA1;IL-13R subunit alpha-1;NR4;CT19;	9606	I13R1_HUMAN	Interleukin-13 receptor subunit alpha-1
ANA129	IL13RA2	CD213A2;CT19;IL-13R;IL13BP;	3598	HGNC:5975	IL13RA2	http://www.ncbi.nlm.nih.gov/gene/?term=3598	interleukin 13 receptor, alpha 2	PR:000001372	interleukin-13 receptor subunit alpha-2	IL13RA2;IL-13R-alpha-2;IL13R;IL-13R subunit alpha-2;interleukin-13-binding protein;CD213a2;interleukin-13 receptor alpha-2 chain;IL-13RA2;IL-13 receptor subunit alpha-2;	9606	I13R2_HUMAN	Interleukin-13 receptor subunit alpha-2
ANA13	CCL21	ECL;SLC;CKb9;TCA4;6Ckine;SCYA21;	6366	HGNC:10620	CCL21	http://www.ncbi.nlm.nih.gov/gene/?term=6366	chemokine (C-C motif) ligand 21	PR:000001993	C-C motif chemokine 21	small-inducible cytokine A21;Scya21b;TCA4;thymus-derived chemotactic agent 4;small-inducible cytokine A21c;Ccl21c;small-inducible cytokine A21b;small-inducible cytokine A21a;SCYA21;CCL21;6Ckine;SLC;beta chemokine exodus-2;Scya21c;secondary lymphoid-tissue chemokine;Ccl21b;	9606	CCL21_HUMAN	C-C motif chemokine 21
ANA130	IL15	IL-15;	3600	HGNC:5977	IL15	http://www.ncbi.nlm.nih.gov/gene/?term=3600	interleukin 15	PR:000001373	interleukin-15	IL15;IL-15;	9606	IL15_HUMAN	Interleukin-15
ANA131	IL15RA	RP11-536K7.2;CD215;	3601	HGNC:5978	IL15RA	http://www.ncbi.nlm.nih.gov/gene/?term=3601	interleukin 15 receptor, alpha	PR:000008981	interleukin-15 receptor subunit alpha	CD215;IL-15 receptor subunit alpha;IL-15R-alpha;IL-15RA;IL15RA;	9606	I15RA_HUMAN	Soluble interleukin-15 receptor subunit alpha
ANA132	IL16	LCF;NIL16;PRIL16;prIL-16;	3603	HGNC:5980	IL16	http://www.ncbi.nlm.nih.gov/gene/?term=3603	interleukin 16	PR:000001374	interleukin-16	IL16;	9606	IL16_HUMAN	Interleukin-16
ANA133	IL17A	IL17;CTLA8;IL-17;IL-17A;	3605	HGNC:5981	IL17A	http://www.ncbi.nlm.nih.gov/gene/?term=3605	interleukin 17A	PR:000001138	interleukin-17A	cytotoxic T-lymphocyte-associated antigen 8;IL17A;IL-17A;IL-17;CTLA-8;CTLA8;IL17;	9606	IL17_HUMAN	Interleukin-17A
ANA134	IL17B	NIRF;IL-20;IL-17B;ZCYTO7;	27190	HGNC:5982	IL17B	http://www.ncbi.nlm.nih.gov/gene/?term=27190	interleukin 17B	PR:000001139	interleukin-17B	IL17B;cytokine Zcyto7;cytokine-like protein ZCYTO7;NIRF;IL-20;cytokine CX1;ZCYTO7;neuronal interleukin-17-related factor;interleukin-20;IL-17B;IL20;	9606	IL17B_HUMAN	Interleukin-17B
ANA135	IL17C	CX2;IL-17C;	27189	HGNC:5983	IL17C	http://www.ncbi.nlm.nih.gov/gene/?term=27189	interleukin 17C	PR:000001140	interleukin-17C	IL-17C;cytokine CX2;IL17C;	9606	IL17C_HUMAN	Interleukin-17C
ANA136	IL17D	IL27;IL-27;IL-17D;	53342	HGNC:5984	IL17D	http://www.ncbi.nlm.nih.gov/gene/?term=53342	interleukin 17D	PR:000001141	interleukin-17D	IL-17D;IL-27;IL27;IL17D;interleukin-27;	9606	IL17D_HUMAN	Interleukin-17D
ANA137	IL17F	ML1;ML-1;CANDF6;IL-17F;	112744	HGNC:16404	IL17F	http://www.ncbi.nlm.nih.gov/gene/?term=112744	interleukin 17F	PR:000001142	interleukin-17F	IL-24;interleukin-24;IL24;cytokine ML-1;IL-17F;IL17F;	9606	IL17F_HUMAN	Interleukin-17F
ANA116	IFNL3	IL28B;IL28C;IL-28B;	282617	HGNC:18365	IFNL3	http://www.ncbi.nlm.nih.gov/gene/?term=282617	interferon, lambda 3	PR:000001470	interleukin-28B	interferon lambda-4;interferon lambda-3;IFNL4;interleukin-28C;IL-28C;IFN-lambda-4;IFNL3;IL28B;Il28;cytokine Zcyto22;IL-28B;ZCYTO22;IL28C;IFN-lambda-3;	9606	IFNL3_HUMAN	Interferon lambda-3
ANA117	IFNLR1	RP11-10N16.1;CRF2/12;IFNLR;IL-28R1;IL28RA;LICR2;	163702	HGNC:18584	IFNLR1	http://www.ncbi.nlm.nih.gov/gene/?term=163702	interferon, lambda receptor 1	PR:000009003	interleukin-28 receptor alpha chain	IFN-lambda-R1;IFN-lambda R1;interferon lambda receptor 1;IL-28R-alpha;IFN-lambda receptor 1;IL28RA;cytokine receptor family 2 member 12;IFNLR1;likely interleukin or cytokine receptor 2;IL-28 receptor subunit alpha;LICR2;CRF2-12;cytokine receptor class-II member 12;IL-28RA;	9606	INLR1_HUMAN	Interferon lambda receptor 1
ANA118	IL10	CSIF;TGIF;GVHDS;IL-10;IL10A;	3586	HGNC:5962	IL10	http://www.ncbi.nlm.nih.gov/gene/?term=3586	interleukin 10	PR:000001471	interleukin-10	CSIF;IL-10;cytokine synthesis inhibitory factor;IL10;	9606	IL10_HUMAN	Interleukin-10
ANA119	IL10RA	CD210;CD210a;CDW210A;HIL-10R;IL-10R1;IL10R;	3587	HGNC:5964	IL10RA	http://www.ncbi.nlm.nih.gov/gene/?term=3587	interleukin 10 receptor, alpha	PR:000001365	interleukin-10 receptor alpha chain	IL-10RA;interleukin-10 receptor subunit 1;IL-10R1;IL-10 receptor subunit alpha;IL-10R subunit alpha;IL10R;CDw210a;IL10RA;IL-10R subunit 1;	9606	I10R1_HUMAN	Interleukin-10 receptor subunit alpha
ANA12	CCL20	CKb4;LARC;ST38;MIP3A;MIP-3a;SCYA20;MIP-3-alpha;	6364	HGNC:10619	CCL20	http://www.ncbi.nlm.nih.gov/gene/?term=6364	chemokine (C-C motif) ligand 20	PR:000001992	C-C motif chemokine 20	SCYA20;CCL20;liver and activation-regulated chemokine;small-inducible cytokine A20;beta chemokine exodus-1;MIP3A;CC chemokine ST38;CC chemokine LARC;LARC;macrophage inflammatory protein 3 alpha;MIP-3-alpha;	9606	CCL20_HUMAN	CCL20(2-70)
ANA120	IL10RB	CDW210B;CRF2-4;CRFB4;D21S58;D21S66;IL-10R2;	3588	HGNC:5965	IL10RB	http://www.ncbi.nlm.nih.gov/gene/?term=3588	interleukin 10 receptor, beta	PR:000008979	interleukin-10 receptor beta chain	IL-10R2;CRF2-4;interleukin-10 receptor subunit 2;cytokine receptor family 2 member 4;CRFB4;IL10RB;cytokine receptor class-II member 4;IL-10R subunit 2;D21S58;IL-10R subunit beta;D21S66;IL-10 receptor subunit beta;IL-10RB;CDw210b;	9606	I10R2_HUMAN	Interleukin-10 receptor subunit beta
ANA121	IL11	AGIF;IL-11;	3589	HGNC:5966	IL11	http://www.ncbi.nlm.nih.gov/gene/?term=3589	interleukin 11	PR:000001366	interleukin-11	oprelvekin;IL-11;AGIF;IL11;adipogenesis inhibitory factor;	9606	IL11_HUMAN	Interleukin-11
ANA1	ACKR3	CMKOR1;CXC-R7;CXCR-7;CXCR7;GPR159;RDC-1;RDC1;	57007	HGNC:23692	ACKR3	http://www.ncbi.nlm.nih.gov/gene/?term=57007	atypical chemokine receptor 3	PR:000001211	chemokine receptor CXCR7	CXCR-7;CMKOR1;RDC-1;CXCR7;chemokine orphan receptor 1;GPR159;ACKR3;CXC-R7;RDC1;G-protein coupled receptor RDC1 homolog;G-protein coupled receptor 159;	9606	ACKR3_HUMAN	Atypical chemokine receptor 3
ANA10	CCL19	ELC;CKb11;MIP3B;MIP-3b;SCYA19;	6363	HGNC:10617	CCL19	http://www.ncbi.nlm.nih.gov/gene/?term=6363	chemokine (C-C motif) ligand 19	PR:000001991	C-C motif chemokine 19	MIP3B;epstein-Barr virus-induced molecule 1 ligand chemokine;small-inducible cytokine A19;beta chemokine exodus-3;CK beta-11;MIP-3-beta;CCL19;ELC;EBI1 ligand chemokine;macrophage inflammatory protein 3 beta;SCYA19;	9606	CCL19_HUMAN	C-C motif chemokine 19
ANA100	IFNA21	LeIF F;leIF-F;IFN-alphaI;	3452	HGNC:5424	IFNA21	http://www.ncbi.nlm.nih.gov/gene/?term=3452	interferon, alpha 21	PR:000008916	interferon alpha-21	interferon alpha-F;IFN-alpha-21;IFNA21;LeIF F;	9606	IFN21_HUMAN	Interferon alpha-21
ANA101	IFNA4	INFA4;IFN-alpha4a;	3441	HGNC:5425	IFNA4	http://www.ncbi.nlm.nih.gov/gene/?term=3441	interferon, alpha 4	PR:000008917	interferon alpha-4	IFNA4;interferon alpha-76;interferon alpha-4B;IFN-alpha-4;interferon alpha-M1;	9606	IFNA4_HUMAN	Interferon alpha-4
ANA102	IFNA5	INA5;INFA5;leIF G;IFN-alphaG;IFN-alpha-5;	3442	HGNC:5426	IFNA5	http://www.ncbi.nlm.nih.gov/gene/?term=3442	interferon, alpha 5	PR:000008918	interferon alpha-5	interferon alpha-G;IFNA5;IFN-alpha-5;interferon alpha-61;LeIF G;	9606	IFNA5_HUMAN	Interferon alpha-5
ANA103	IFNA6	IFN-alphaK;	3443	HGNC:5427	IFNA6	http://www.ncbi.nlm.nih.gov/gene/?term=3443	interferon, alpha 6	PR:000008919	interferon alpha-6	interferon alpha-54;IFN-alpha-6;interferon alpha-K;LeIF K;Ifa6;IFN-alpha-8;Ifna8;Ifa8;IFNA6;interferon alpha-8;	9606	IFNA6_HUMAN	Interferon alpha-6
ANA104	IFNA7	IFNA-J;IFN-alphaJ;	3444	HGNC:5428	IFNA7	http://www.ncbi.nlm.nih.gov/gene/?term=3444	interferon, alpha 7	PR:000008920	interferon alpha-7	IFNA7;LeIF J;IFN-alpha-J1;IFN-alpha-7;interferon alpha-J1;interferon alpha-J;Ifa7;	9606	IFNA7_HUMAN	Interferon alpha-7
ANA105	IFNA8	IFN-alphaB;	3445	HGNC:5429	IFNA8	http://www.ncbi.nlm.nih.gov/gene/?term=3445	interferon, alpha 8	PR:000008921	interferon alpha-8	LeIF B;IFN-alpha-8;interferon alpha-B;interferon alpha-B2;IFNA8;	9606	IFNA8_HUMAN	Interferon alpha-8
ANA106	IFNAR1	AVP;IFN-alpha-REC;IFNAR;IFNBR;IFRC;	3454	HGNC:5432	IFNAR1	http://www.ncbi.nlm.nih.gov/gene/?term=3454	interferon (alpha, beta and omega) receptor 1	PR:000008922	interferon-alpha/beta receptor alpha chain	type I interferon receptor 1;IFN-alpha/beta receptor 1;IFNAR;cytokine receptor class-II member 1;cytokine receptor family 2 member 1;Ifar;IFN-R-1;IFNAR1;CRF2-1;	9606	INAR1_HUMAN	Interferon alpha/beta receptor 1
ANA107	IFNAR2	IFN-R;IFN-alpha-REC;IFNABR;IFNARB;	3455	HGNC:5433	IFNAR2	http://www.ncbi.nlm.nih.gov/gene/?term=3455	interferon (alpha, beta and omega) receptor 2	PR:000008923	interferon-alpha/beta receptor beta chain	IFN-R-2;IFNABR;type I interferon receptor 2;IFNAR2;IFNARB;IFN-alpha/beta receptor 2;	9606	INAR2_HUMAN	Interferon alpha/beta receptor 2
ANA151	IL20RB	hCG_2022374;DIRS1;FNDC6;IL-20R2;	53833	HGNC:6004	IL20RB	http://www.ncbi.nlm.nih.gov/gene/?term=53833	interleukin 20 receptor beta	PR:000008997	interleukin-20 receptor subunit beta	DIRS1;IL-20 receptor subunit beta;IL-20R-beta;IL-20R2;IL-20RB;IL20RB;	9606	I20RB_HUMAN	Interleukin-20 receptor subunit beta
ANA152	IL21	Za11;IL-21;CVID11;	59067	HGNC:6005	IL21	http://www.ncbi.nlm.nih.gov/gene/?term=59067	interleukin 21	PR:000001382	interleukin-21	IL21;Za11;IL-21;	9606	IL21_HUMAN	Interleukin-21
ANA153	IL21R	UNQ3121/PRO10273;CD360;NILR;	50615	HGNC:6006	IL21R	http://www.ncbi.nlm.nih.gov/gene/?term=50615	interleukin 21 receptor	PR:000008998	interleukin-21 receptor	NILR;NR8;LR-beta;lymphocyte receptor beta;IL-21 receptor;IL21R;CD360;IL-21R;novel cytokine receptor 8;novel interleukin receptor;	9606	IL21R_HUMAN	Interleukin-21 receptor
ANA154	IL22	TIFa;IL-21;IL-22;ILTIF;IL-TIF;IL-D110;zcyto18;TIFIL-23;	50616	HGNC:14900	IL22	http://www.ncbi.nlm.nih.gov/gene/?term=50616	interleukin 22	PR:000001383	interleukin-22	IL-22;IL22;IL-TIF;ILTIF;ZCYTO18;IL-TIF alpha;IL-22a;Il22a;interleukin-22a;IL-10-related T-cell-derived-inducible factor;cytokine Zcyto18;Iltifa;	9606	IL22_HUMAN	Interleukin-22
ANA155	IL22RA1	CRF2-9;IL22R;IL22R1;	58985	HGNC:13700	IL22RA1	http://www.ncbi.nlm.nih.gov/gene/?term=58985	interleukin 22 receptor, alpha 1	PR:000008999	interleukin-22 receptor subunit alpha-1	CRF2-9;ZcytoR11;IL22R;IL-22R-alpha-1;IL22RA1;IL-22RA1;cytokine receptor family 2 member 9;cytokine receptor class-II member 9;IL-22 receptor subunit alpha-1;	9606	I22R1_HUMAN	Interleukin-22 receptor subunit alpha-1
ANA156	IL22RA2	UNQ5793/PRO19598/PRO19822;CRF2-10;CRF2-S1;CRF2X;IL-22BP;IL-22R-alpha-2;IL-22RA2;ZCYTOR16;	116379	HGNC:14901	IL22RA2	http://www.ncbi.nlm.nih.gov/gene/?term=116379	interleukin 22 receptor, alpha 2	PR:000009000	interleukin-22 receptor subunit alpha-2	CRF2-S1;interleukin-22-binding protein;IL-22BP;IL22RA2;ZcytoR16;CRF2-10;cytokine receptor family type 2, soluble 1;IL22BP;cytokine receptor family 2 member 10;IL-22RA2;IL-22 receptor subunit alpha-2;IL-22R-alpha-2;cytokine receptor class-II member 10;	9606	I22R2_HUMAN	Interleukin-22 receptor subunit alpha-2
ANA157	IL23A	P19;SGRF;IL-23;IL-23A;IL23P19;	51561	HGNC:15488	IL23A	http://www.ncbi.nlm.nih.gov/gene/?term=51561	interleukin 23, alpha subunit p19	PR:000001384	interleukin-23 subunit alpha	IL-23 subunit alpha;SGRF;IL23A;IL-23p19;interleukin-23 subunit p19;IL-23-A;	9606	IL23A_HUMAN	Interleukin-23 subunit alpha
ANA158	IL23R	-	149233	HGNC:19100	IL23R	http://www.ncbi.nlm.nih.gov/gene/?term=149233	interleukin 23 receptor	PR:000009001	interleukin-23 receptor	IL-23R;IL-23 receptor;IL23R;	9606	IL23R_HUMAN	Interleukin-23 receptor
ANA159	IL24	C49A;FISP;MDA7;MOB5;ST16;IL10B;	11009	HGNC:11346	IL24	http://www.ncbi.nlm.nih.gov/gene/?term=11009	interleukin 24	PR:000001474	interleukin-24	IL-24;ST16;MDA7;MDA-7;melanoma differentiation-associated gene 7 protein;IL-4-induced secreted protein;IL24;suppression of tumorigenicity 16 protein;Th2-specific cytokine FISP;	9606	IL24_HUMAN	Interleukin-24
ANA16	CCL24	Ckb-6;MPIF2;MPIF-2;SCYA24;	6369	HGNC:10623	CCL24	http://www.ncbi.nlm.nih.gov/gene/?term=6369	chemokine (C-C motif) ligand 24	PR:000001996	C-C motif chemokine 24	CCL24;CK-beta-6;MPIF-2;MPIF2;SCYA24;eosinophil chemotactic protein 2;eotaxin-2;myeloid progenitor inhibitory factor 2;small-inducible cytokine A24;	9606	CCL24_HUMAN	C-C motif chemokine 24
ANA160	IL25	IL17E;	64806	HGNC:13765	IL25	http://www.ncbi.nlm.nih.gov/gene/?term=64806	interleukin 25	PR:000001113	interleukin-17E	IL-25;IL-17E;IL17E;IL25;	9606	IL25_HUMAN	Interleukin-25
ANA161	IL26	AK155;IL-26;	55801	HGNC:17119	IL26	http://www.ncbi.nlm.nih.gov/gene/?term=55801	interleukin 26	PR:000001475	interleukin-26	AK155;IL-26;IL26;protein AK155;	9606	IL26_HUMAN	Interleukin-26
ANA162	IL27	p28;IL30;IL-27;IL27A;IL-27A;IL27p28;	246778	HGNC:19157	IL27	http://www.ncbi.nlm.nih.gov/gene/?term=246778	interleukin 27	PR:000001385	interleukin-27 subunit alpha	p28;IL27;IL-27-A;IL-30;IL27p28;IL27-A;IL-27 subunit alpha;IL27A;	9606	IL27A_HUMAN	Interleukin-27 subunit alpha
ANA163	IL2RA	RP11-536K7.1;CD25;IDDM10;IL2R;TCGFR;	3559	HGNC:6008	IL2RA	http://www.ncbi.nlm.nih.gov/gene/?term=3559	interleukin 2 receptor, alpha 	PR:000001380	interleukin-2 receptor subunit alpha	TAC antigen;CD25;Il2r;IL2-RA;IL2RA;IL-2-RA;IL-2R subunit alpha;IL-2 receptor subunit alpha;p55;	9606	IL2RA_HUMAN	Interleukin-2 receptor subunit alpha
ANA164	IL2RB	RP5-1170K4.6;CD122;IL15RB;P70-75;	3560	HGNC:6009	IL2RB	http://www.ncbi.nlm.nih.gov/gene/?term=3560	interleukin 2 receptor, beta	PR:000001381	interleukin-2 receptor subunit beta	p70-75;IL-2 receptor subunit beta;IL-2RB;high affinity IL-2 receptor subunit beta;IL2RB;p75;IL-2R subunit beta;CD122;	9606	IL2RB_HUMAN	Interleukin-2 receptor subunit beta
ANA165	IL2RG	CD132;CIDX;IL-2RG;IMD4;P64;SCIDX;SCIDX1;	3561	HGNC:6010	IL2RG	http://www.ncbi.nlm.nih.gov/gene/?term=3561	interleukin 2 receptor, gamma	PR:000001340	cytokine receptor common subunit gamma	CD132;IL-2 receptor subunit gamma;IL-2R subunit gamma;IL-2RG;IL2RG;cytokine receptor common gamma chain;interleukin-2 receptor subunit gamma;p64;	9606	IL2RG_HUMAN	Cytokine receptor common subunit gamma
ANA166	IL3	IL-3;MCGF;MULTI-CSF;	3562	HGNC:6011	IL3	http://www.ncbi.nlm.nih.gov/gene/?term=3562	interleukin 3	PR:000001387	interleukin-3	MCGF;P-cell-stimulating factor;IL3;mast cell growth factor;Csfmu;IL-3;multipotential colony-stimulating factor;hematopoietic growth factor;	9606	IL3_HUMAN	Interleukin-3
ANA167	IL31	IL-31;	386653	HGNC:19372	IL31	http://www.ncbi.nlm.nih.gov/gene/?term=386653	interleukin 31	PR:000001316	interleukin-31	IL31;IL-31;	9606	IL31_HUMAN	Interleukin-31
ANA817	IGHM	MU; VH; AGM1	3507	HGNC:5541	IgM	http://www.ncbi.nlm.nih.gov/gene/?term=3507	immunoglobulin heavy constant mu	PR_000008963	immunoglobulin heavy constant mu		9606	IGHM_HUMAN	Immunoglobulin heavy constant mu
ANA818	PDCD1	PD1; PD-1; CD279; SLEB2; hPD-1; hPD-l; hSLE1	5133	HGNC:8760	PD1	http://www.ncbi.nlm.nih.gov/gene/?term=5133	programmed cell death 1	PR_000001919	programmed cell death protein 1		9606	PDCD1_HUMAN	Programmed cell death protein 1
ANA819	IGHA2	IgA2	3494	HGNC:5479	IgA2	http://www.ncbi.nlm.nih.gov/gene/?term=3494	immunoglobulin heavy constant alpha 2 (A2m marker)	PR_000008956	Ig alpha-2 chain C region		9606	IGHA2_HUMAN	Immunoglobulin heavy constant alpha 2
ANA820	IGHA1	IgA1	3493	HGNC:5478	IgA1	http://www.ncbi.nlm.nih.gov/gene/?term=3493	immunoglobulin heavy constant alpha 1	PR_000008955	Ig alpha-1 chain C region		9606	IGHA1_HUMAN	Immunoglobulin heavy constant alpha 1
ANA821	CENPB	CENPBD1	1059	HGNC:1852	CENPB	http://www.ncbi.nlm.nih.gov/gene/?term=1059	centromere protein B	PR_000032788	CENPB DNA-binding domain-containing protein 1	CENPBD1	9606	CENPB_HUMAN	Major centromere autoantigen B
ANA168	IL32	NK4;TAIF;TAIFa;TAIFb;TAIFc;TAIFd;IL-32beta;IL-32alpha;IL-32delta;IL-32gamma;	9235	HGNC:16830	IL32	http://www.ncbi.nlm.nih.gov/gene/?term=9235	interleukin 32	PR:000001388	interleukin-32	IL32;TAIF;IL-32;tumor necrosis factor alpha-inducing factor;natural killer cells protein 4;NK4;	9606	IL32_HUMAN	Interleukin-32
ANA169	IL33	DVS27;IL1F11;NF-HEV;NFEHEV;C9orf26;	90865	HGNC:16028	IL33	http://www.ncbi.nlm.nih.gov/gene/?term=90865	interleukin 33	PR:000001389	interleukin-33	nuclear factor from high endothelial venules;IL1F11;IL33;interleukin-1 family member 11;NF-HEV;IL-33;C9orf26;IL-1F11;NFHEV;	9606	IL33_HUMAN	Interleukin-33
ANA17	CCL25	TECK;Ckb15;SCYA25;	6370	HGNC:10624	CCL25	http://www.ncbi.nlm.nih.gov/gene/?term=6370	chemokine (C-C motif) ligand 25	PR:000001801	C-C motif chemokine 25	SCYA25;thymus-expressed chemokine;TECK;CCL25;small-inducible cytokine A25;chemokine TECK;	9606	CCL25_HUMAN	C-C motif chemokine 25
ANA170	IL34	IL-34;C16orf77;	146433	HGNC:28529	IL34	http://www.ncbi.nlm.nih.gov/gene/?term=146433	interleukin 34	PR:000001390	interleukin-34	IL-34;C16orf77;IL34;	9606	IL34_HUMAN	Interleukin-34
